"Note: This sheet takes a couple seconds to filter because it is MASSIVE, 
so please be patient and don't change too many settings too quickly",,,,,CR,,Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Eel,Huge,Dragon,,Neutral,12,,,,,,,,,ø,,,,,,,ø,ø,,,Tome of Beasts,146,,,Sahuagin Coral Smasher,Medium,Humanoid,Sahuagin,Lawful Evil,1,,,,,,,,,x,,,,,,,,x,,,Ghosts of Saltmarsh,249,,,,,,,,,,,
Dragon Speaker,Small,Humanoid,,Any,2,,x,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,189,,,Sahuagin Deep Diver,Medium,Humanoid,Sahuagin,Lawful Evil,4,,,,,,,,,x,,,,,,,,x,,,Ghosts of Saltmarsh,250,,,,,,,,,,,
Dragon Tortoise,Gargantuan,Dragon,,Neutral,17,,,,,x,,,,x,,,,,,,,ø,,,Candlekeep Mysteries,205,,,Sahuagin Hatchling Swarm,Large,Beast,Swarm,Chaotic Evil,3,,,,,,,,,x,,,,,,,,x,,,Ghosts of Saltmarsh,250,,,,,,,,,,,
Dragon Turtle,Gargantuan,Dragon,,Neutral,17,,,,,,,,,x,,,,,,,,x,,,Monster Manual,119,,,Sahuagin High Priestess,Medium,Humanoid,Sahuagin,Lawful Evil,5,,x,,,,,,,x,,,,,,,,x,,,Ghosts of Saltmarsh,251,,,,,,,,,,,
Dragon Turtle Wyrmling,Large,Dragon,,Neutral,4,,,,,,,,,,,,,,,,,ø,,,Fizban's Treasury of Dragons,192,,,Sahuagin Wave Shaper,Medium,Humanoid,Sahuagin,Lawful Evil,5,,x,,,,,,,x,,,,,,,,x,,,Ghosts of Saltmarsh,251,,,,,,,,,,,
Dragonbait,Medium,Humanoid,Surial,Lawful Good,5,,,,,x,,,,,,,,,,,,,,,Tomb of Annihilation,218,,,Sanbalet,Medium,Humanoid,Human,Neutral Evil,1,,x,,,x,,,,,,,,,,,,,,,Ghosts of Saltmarsh,252,,,,,,,,,,,
Dragonblood Ooze,Large,Ooze,,Unaligned,5,,,,,,,,,,,,,,,,,ø,ø,,Fizban's Treasury of Dragons,182,,,Sea Lion,Large,Beast,,Unaligned,1/2,,,,,,,,,x,,,,,,,,x,,,Ghosts of Saltmarsh,252,Tales from the Yawning Portal 242,,,,,,,,,,
Dragonbone Golem,Large,Construct,,Unaligned,11,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,183,,,Shell Shark,Medium,Monstrosity,,Unaligned,2,,,,,,,,,,,,,,,,,x,,,Ghosts of Saltmarsh,252,,,,,,,,,,,
Dragonborn of Bahamut,Medium,Humanoid,,Lawful Good,8,,,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,184,,,Skeletal Alchemist,Medium,Undead,,Lawful Evil,1/2,,,,,,,,,,,,,,,,,,,,Ghosts of Saltmarsh,253,,,,,,,,,,,
Dragonborn of Sardior,Medium,Humanoid,,Neutral,6,,x,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,185,,,Skeletal Juggernaut,Large,Undead,,Lawful Evil,5,,,,,,,,,,,,,,,,,,,,Ghosts of Saltmarsh,253,Infernal Machine Rebuild 81,,,,,,,,,,
Dragonborn of Tiamat,Medium,Humanoid,,Chaotic Evil,7,,,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,185,,,Skeletal Swarm,Large,Undead,Swarm,Lawful Evil,2,,,,,,,,,,,,,,,,,,,,Ghosts of Saltmarsh,254,Infernal Machine Rebuild 81,,,,,,,,,,
Dragonclaw,Medium,Humanoid,Human,Neutral Evil,1,,,,,,,,,,,,,,,,,,,,Hoard of the Dragon Queen,89,Rise of Tiamat 89,,Skum,Medium,Aberration,,Lawful Evil,5,,,,,,,,,ø,,,,,,,,ø,,,Ghosts of Saltmarsh,254,,,,,,,,,,,
Dragonfang,Medium,Humanoid,Human,Neutral Evil,5,,,,,,,,,,,,,,,,,,,,Rise of Tiamat,89,,,Thousand Teeth,Large,Monstrosity,,Neutral Evil,6,,,x,,x,,,,ø,,,,,,ø,,,,,Ghosts of Saltmarsh,256,,,,,,,,,,,
Dragonflesh Abomination,Huge,Monstrosity,,Neutral Evil,6,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,187,,,Vampiric Jade Statue,Large,Construct,,Unaligned,8,,,x,,x,,,,,,,,,,,,,,,Ghosts of Saltmarsh,256,,,,,,,,,,,
Dragonflesh Golem,Large,Construct,,Unaligned,10,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,,Tome of Beasts 2,180,,,Battleforce Angel,Medium,Celestial,Angel,Lawful Good,5,,,,,,,,,,,,,,,,,,ø,ø,Guildmaster's Guide to Ravnica,189,,,,,,,,,,,
Dragonflesh Grafter,Large,Monstrosity,,Neutral Evil,3,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,186,,,Firemane Angel,Medium,Celestial,Angel,Chaotic Good,12,,x,,,,,,,,,,,,,,,,ø,ø,Guildmaster's Guide to Ravnica,190,,,,,,,,,,,
Dragonleaf Tree,Large,Plant,,Unaligned,8,,,,,,,,,,,ø,,,,,,,,,Tome of Beasts,147,,,Deathpact Angel,Medium,Celestial,Angel,Lawful Neutral,14,,x,,,,,,,,,,,,,,,,ø,ø,Guildmaster's Guide to Ravnica,191,,,,,,,,,,,
Dragonnel,Large,Dragon,,Neutral,2,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,190,,,Archon of the Triumvirate,Medium,Celestial,,Lawful Neutral,14,,x,x,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,192,,,,,,,,,,,
Dragonslayer Ornstein,Medium,Humanoid,,Lawful Neutral,17,,,x,,x,,,,,,,,,,,,,ø,,Monster a Day Compendium 2.0,33,,,Arclight Phoenix,Medium,Elemental,,Chaotic Neutral,12,,,,,,,,,,,,,,,,,,ø,ø,Guildmaster's Guide to Ravnica,193,,,,,,,,,,,
Dragonsoul,Medium,Humanoid,Human,Neutral Evil,7,,,,,,,,,,,,,,,,,,,,Rise of Tiamat,89,,,Conclave Dryad,Medium,Fey,,Lawful Good,9,,x,,,,,,,,,ø,ø,,,,,,ø,,Guildmaster's Guide to Ravnica,194,,,,,,,,,,,
Dragonwing,Medium,Humanoid,Human,Neutral Evil,2,,,,,,,,,,,,,,,,,,,,Hoard of the Dragon Queen,89,Rise of Tiamat 90,,Cackler,Small,Fiend,Demon,Chaotic Evil,1/2,,x,,,,,,,,,,,,,,ø,,ø,ø,Guildmaster's Guide to Ravnica,195,,,,,,,,,,,
Drakon,Large,Beast,,Unaligned,5,,,,,,,,,ø,,,,,,,,ø,,,Tome of Beasts,157,,,Master of Cruelties,Large,Fiend,Demon,Chaotic Evil,9,,x,,,,,,,,,,,,,,ø,,ø,ø,Guildmaster's Guide to Ravnica,196,,,,,,,,,,,
Dralmorrer Borngray,Medium,Humanoid,High-Elf,Neutral Evil,3,,x,,,x,,,,,,,,,,,,,,,Hoard of the Dragon Queen,90,,,Sire of Insanity,Huge,Fiend,Demon,Chaotic Evil,12,,x,,,,,,,,,,,,,,ø,,ø,ø,Guildmaster's Guide to Ravnica,197,,,,,,,,,,,
Drannin Splithelm,Medium,Humanoid,Shield Dwarf,Neutral Evil,7,,,,,x,,,,,,,,,,,,,,,Princes of the Apocalypse,209,,,Devkarin Lich,Medium,Undead,,Neutral Evil,14,,x,x,,,,,,,,,,,,ø,ø,,ø,,Guildmaster's Guide to Ravnica,198,,,,,,,,,,,
Dread Doppelganger,Medium,Monstrosity,Shapechanger,Neutral Evil,5,,x,,,,,,,,,,,,,,,ø,ø,,Minsc and Boo's Journal of Villainy,139,,,Felidar,Large,Celestial,,Lawful Neutral,5,,,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,199,,,,,,,,,,,
Dread Walker Excavator,Large,Construct,,Neutral,5,,,,,,,,,,,,,x,,,x,x,,,Tome of Beasts 2,129,,,Bloodfray Giant,Huge,Giant,,Chaotic Evil,6,,,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,200,,,,,,,,,,,
Dread Warrior,Medium,Undead,,Neutral Evil,1,,,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,233,,,Guardian Giant,Huge,Giant,,Lawful Neutral,8,,,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,201,,,,,,,,,,,
Dream Eater,Large,Aberration,,Chaotic Evil,10,,,x,,,,,,,,,,,,,,,ø,ø,Monster a Day Compendium 2.0,34,,,Orzhov Giant,Large,Giant,,Lawful Neutral,6,,,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,202,,,,,,,,,,,
Dream Eater,Medium,Fiend,,Lawful Neutral,5,,x,,,,,,,,,,,,,,,,ø,,Tome of Beasts,158,,,Sunder Shaman,Huge,Giant,,Chaotic Neutral,10,,,,,,,,,,,ø,ø,ø,,,,,ø,,Guildmaster's Guide to Ravnica,202,,,,,,,,,,,
Dream Squire,Medium,Fey,,Neutral,2,,,,,,,,,,,,,,,,x,,x,,Creature Codex,134,,,Flying Horror,Medium,Aberration,,Neutral Evil,3,,,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,203,,,,,,,,,,,
Dream Wraith,Medium,Undead,,Neutral Evil,5,,,,,,,,,,,,x,,,,,,x,,Creature Codex,135,,,Shadow Horror,Large,Aberration,,Neutral Evil,9,,,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,205,,,,,,,,,,,
Dreamlands Cat,Tiny,Beast,,Any,0,,,,,,,,,,,,,,ø,,,,x,x,Sandy Petersen's Cthulhu Mythos,289,,,Skittering Horro,Huge,Aberration,,Neutral Evil,15,,,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,205,,,,,,,,,,,
"Dreamlands Cat, Saturnian",Medium,Beast,,Any,1/8,,,,,,,,,,,,,,ø,,,,,x,Sandy Petersen's Cthulhu Mythos,288,,,Indentured Spirit,Medium,Undead,,Any,1,,,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,206,,,,,,,,,,,
"Dreamlands Cat, Uranian",Medium,Beast,,Any,1/8,,,,,,,,,,,,,,ø,,,,,x,Sandy Petersen's Cthulhu Mythos,289,,,Blistercoil Weird,Medium,Elemental,Weird,Chaotic Neutral,4,,,,,,,,,,,,,,,,,,ø,ø,Guildmaster's Guide to Ravnica,207,,,,,,,,,,,
Dretch,Small,Fiend,Demon,Chaotic Evil,1/4,,,,,,,,,,,,,,,,,,,ø,Monster Manual,57,,,Fluxcharger,Large,Elemental,Weird,Chaotic Neutral,7,,,,,,,,,,,,,,,,,,ø,ø,Guildmaster's Guide to Ravnica,208,,,,,,,,,,,
Drider,Large,Monstrosity,,Chaotic Evil,6,,x,,,,,,,,,,,,,,x,,,,Monster Manual,120,,,Galvanice Weird,Medium,Elemental,Weird,Chaotic Neutral,1,,,,,,,,,,,,,,,,,,ø,ø,Guildmaster's Guide to Ravnica,209,,,,,,,,,,,
Droki,Small,Humanoid,Derro,Chaotic Evil,2,,x,,,,,,,,,,,,,,,,,,Out of the Abyss,231,,,Category 1 Krasis,Medium,Monstrosity,,Unaligned,1,,,,,,,,,ø,,,,,,ø,ø,ø,ø,,Guildmaster's Guide to Ravnica,210,,,,,,,,,,,
Droth,Huge,Aberration,Shoth,Lawful Neutral,12,,,,,,,,,,,,,,,,,,,x,Creature Codex,333,,,Category 2 Krasis,Large,Monstrosity,,Unaligned,6,,,,,,,,,ø,,,,,,ø,ø,ø,ø,,Guildmaster's Guide to Ravnica,211,,,,,,,,,,,
Drow,Medium,Humanoid,Elf,Neutral Evil,1/4,,x,,,,,,,,,,,,,,x,,,,Monster Manual,128,,,Category 3 Krasis,Huge,Monstrosity,,Unaligned,16,,,,,,,,,ø,,,,,,ø,ø,ø,ø,,Guildmaster's Guide to Ravnica,212,,,,,,,,,,,
Drow Arachnomancer,Medium,Humanoid,elf,Chaotic Evil,13,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,99,,,Kraul Warrior,Medium,Humanoid,Kraul,Neutral Evil,1/2,,,,,,,,,,,,,,,,ø,,,,Guildmaster's Guide to Ravnica,213,,,,,,,,,,,
Drow Arachnomancer,Medium,Humanoid,"Elf, drow",Chaotic Evil,13,,x,,,,,,,,,,,,,,x,,,,Mordenkainen's Tome of Foes,182,,,Kraul Death Priest,Medium,Humanoid,Kraul,Neutral Evil,4,,x,,,,,,,,,,,,,,ø,,,,Guildmaster's Guide to Ravnica,214,,,,,,,,,,,
Drow Elite Warrior,Medium,Humanoid,Elf,Neutral Evil,5,,x,,,,,,,,,,,,,,x,,,,Monster Manual,128,,,Gloamwing,Large,Undead,,Neutral Evil,8,,,,,,,,,,,,,,,,,,ø,ø,Guildmaster's Guide to Ravnica,215,,,,,,,,,,,
Drow Favored Consort,Medium,Humanoid,"elf, wizard",Any,18,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,100,,,Nightveil Specter,Medium,Undead,,Neutral Evil,10,,,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,215,,,,,,,,,,,
Drow Favored Consort,Medium,Humanoid,"Elf, drow",Chaotic Evil,18,,x,,,,,,,,,,,,,,x,,,,Mordenkainen's Tome of Foes,183,,,Nivix Cyclops,Large,Giant,,Unaligned,8,,,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,216,,,,,,,,,,,
Drow Gunslinger,Medium,Humanoid,Elf,Any,4,,x,,,,,,,,,,,,,,,,ø,,Waterdeep: Dragon Heist,201,,,Hybrid Brute,Medium,Humanoid,Simic Hybrid,Neutral Good,2,,,,,,,,,ø,,,,,,,,ø,ø,,Guildmaster's Guide to Ravnica,217,,,,,,,,,,,
Drow House Captain,Medium,Humanoid,elf,Any,9,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,101,,,Hybrid Flier,Medium,Humanoid,Simic Hybrid,Neutral Good,2,,,,,,,,,ø,,,,,,,,ø,ø,,Guildmaster's Guide to Ravnica,217,,,,,,,,,,,
Drow House Captain,Medium,Humanoid,"Elf, drow",Chaotic Evil,9,,x,,,,,,,,,,,,,,x,,,,Mordenkainen's Tome of Foes,184,,,Hybrid Poisoner,Medium,Humanoid,Simic Hybrid,Neutral Good,1,,,,,,,,,ø,,,,,,,,ø,ø,,Guildmaster's Guide to Ravnica,217,,,,,,,,,,,
Drow Inquisitor,Medium,Humanoid,"cleric, elf",Neutral Evil,14,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,102,,,Hybrid Shocker,Medium,Humanoid,Simic Hybrid,Neutral Good,1,,,,,,,,,ø,,,,,,,,ø,ø,,Guildmaster's Guide to Ravnica,218,,,,,,,,,,,
Drow Inquisitor,Medium,Humanoid,"Elf, drow",Chaotic Evil,14,,x,,,,,,,,,,,,,,x,,,,Mordenkainen's Tome of Foes,184,,,Hybrid Spy,Medium,Humanoid,Simic Hybrid,Neutral Good,1/2,,,,,,,,,ø,,,,,,,,ø,ø,,Guildmaster's Guide to Ravnica,218,,,,,,,,,,,
Drow Mage,Medium,Humanoid,Elf,Neutral Evil,7,,x,,,,,,,,,,,,,,x,,,,Monster Manual,129,,,Skyjek Roc,Large,Monstrosity,,Unaligned,2,,,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,219,,,,,,,,,,,
Drow Matron Mother,Medium,Humanoid,"cleric, elf",Neutral Evil,20,,x,x,x,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,104,,,Skyswimmer,Gargantuan,Monstrosity,,Unaligned,13,,,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,220,,,,,,,,,,,
Drow Matron Mother,Medium,Humanoid,"Elf, drow",Chaotic Evil,20,,x,x,,,,,,,,,,,,,x,,,,Mordenkainen's Tome of Foes,186,,,Servitor Thrull,Small,Construct,,Unaligned,1/4,,,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,221,,,,,,,,,,,
Drow Mech,Large,Fey,,Lawful Neutral,11,,x,,,,,,,,,,,,,,ø,,,,Monster a Day Compendium 2.0,35,,,Winged Thrull,Small,Construct,,Unaligned,1/2,,,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,221,,,,,,,,,,,
Drow Priestess of Lolth,Medium,Humanoid,Elf,Neutral Evil,8,,x,,,,,,,,,,,,,,x,,,,Monster Manual,129,,,Undercity Medusa,Medium,Monstrosity,,Neutral Evil,6,,x,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,222,,,,,,,,,,,
Drow Shadowblade,Medium,Humanoid,elf,Any,11,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,105,,,Blood Drinker Vampire,Medium,Undead,,Lawful Neutral,8,,,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,223,,,,,,,,,,,
Drow Shadowblade,Medium,Humanoid,"Elf, drow",Chaotic Evil,11,,x,,,,,,,,,,,,,,x,,,,Mordenkainen's Tome of Foes,187,,,Mind Drinker Vampire,Medium,Undead,,Neutral Evil,4,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,224,,,,,,,,,,,
Drow Spore Servant,Medium,Plant,,Unaligned,1/8,,,,,,,,,,,,,,,,ø,,,,Out of the Abyss,229,,,Wurm,Huge,Monstrosity,,Unaligned,14,,,,,,,,,,,,,,ø,,ø,,ø,,Guildmaster's Guide to Ravnica,225,,,,,,,,,,,
Drowned Ascetic,Medium,Undead,,Chaotic Evil,3,,,,,,,,,ø,,,,,,,,x,,,Ghosts of Saltmarsh,233,,,Soldier,Medium,Humanoid,Any Race,Any,1/2,,,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,226,,,,,,,,,,,
Drowned Assassin,Medium,Undead,,Chaotic Evil,4,,,,,,,,,ø,,,,,,,,x,,,Ghosts of Saltmarsh,234,,,Isperia,Gargantuan,Monstrosity,,Lawful Neutral,21,,x,x,,x,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,227,,,,,,,,,,,
Drowned Blade,Medium,Undead,,Chaotic Evil,2,,,,,,,,,ø,,,,,,,,x,,,Ghosts of Saltmarsh,235,,,Lawmage,Medium,Humanoid,Any Race,Lawful Neutral,6,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,228,,,,,,,,,,,
Drowned Maiden,Medium,Undead,,Neutral Evil,5,,x,,,,,,,ø,,,,,,ø,,ø,ø,,Tome of Beasts,159,,,Precognitive Mage,Medium,Humanoid,Any Race,Lawful Neutral,3,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,228,,,,,,,,,,,
Drowned Master,Medium,Undead,,Chaotic Evil,9,,,,,,,,,ø,,,,,,,,x,,,Ghosts of Saltmarsh,235,,,Aurelia,Medium,Celestial,Angel,Lawful Good,23,,,x,,x,,,,,,,,,,,,,ø,ø,Guildmaster's Guide to Ravnica,230,,,,,,,,,,,
Druid,Medium,Humanoid,Any Race,Any,2,,x,,,,,,x,x,x,x,x,x,x,x,,,,,Monster Manual,346,Rise of Tiamat Online Supplement 12,,Firefist,Medium,Humanoid,Any Race,Lawful Good,7,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,231,,,,,,,,,,,
Druid of the Old Ways,Medium,Humanoid,Any Race,Chaotic Neutral,7,,x,,,,,,,,,ø,ø,ø,,,,,ø,,Guildmaster's Guide to Ravnica,239,,,Frontline Medic,Medium,Humanoid,Any Race,Lawful Good,1/4,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,231,,,,,,,,,,,
Dryad,Medium,Fey,,Neutral,1,,x,,,,,,,,,x,,,,,,,,,Monster Manual,121,,,Reckoner,Medium,Humanoid,Any Race,Lawful Good,4,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,231,,,,,,,,,,,
Du'ulora Quori,Large,Aberration,,Lawful Evil,11,,x,,,,,,,,,,,,,,,,ø,x,DM's Guild: Exploring Eberron,245,,,Lazav,Medium,Monstrosity,Shapechanger,Neutral Evil,17,,x,x,,x,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,232,,,,,,,,,,,
Dualist Shadow Fey Elves,Medium,Humanoid,Elf,Lawful Neutral,6,,x,,,,,,,,,,,,,,ø,,,ø,Tome of Beasts,171,,,Mind Mage,Medium,Humanoid,Any Race,Neutral Evil,5,,x,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,233,,,,,,,,,,,
Duergar,Medium,Humanoid,Dwarf,Lawful Neutral,1,,,,,,,,,,,,,,,,x,,,,Monster Manual,122,,,Thought Spy,Medium,Humanoid,Any Race,Neutral Evil,1,,x,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,233,,,,,,,,,,,
Duergar Darkhaft,Medium,Humanoid,Dwarf,Lawful Neutral,2,,x,,,,,,,,,,,,,,,,,,Out of the Abyss,226,,,Jarod Vod Savo,Medium,Undead,,Neutral Evil,22,,x,x,x,x,,,,,,,,,,ø,ø,,ø,,Guildmaster's Guide to Ravnica,235,,,,,,,,,,,
Duergar Despot,Medium,Humanoid,dwarf,Any,12,,x,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,107,,,Golgari Shaman,Medium,Humanoid,Elf,Neutral Evil,5,,x,,,,,,,,,,,,,ø,ø,,ø,,Guildmaster's Guide to Ravnica,236,,,,,,,,,,,
Duergar Despot,Medium,Humanoid,Dwarf,Lawful Neutral,12,,x,,,,,,,,,,,,x,,x,,,,Mordenkainen's Tome of Foes,188,,,Borborygmos,Huge,Giant,,Chaotic Neutral,18,,,x,,x,,,,,,ø,ø,ø,,,,,ø,,Guildmaster's Guide to Ravnica,238,,,,,,,,,,,
Duergar Hammerer,Medium,Construct,dwarf,Any,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,112,,,Anarch,Small,Humanoid,Any Race,Chaotic Neutral,1/4,,,,,,,,,,,ø,ø,ø,,,,,ø,,Guildmaster's Guide to Ravnica,239,,,,,,,,,,,
Duergar Hammerer,Medium,Humanoid,Dwarf,Lawful Neutral,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen's Tome of Foes,188,Icewind Dale: Rime of the Frostmaiden 286,,Druid of the Old Ways,Medium,Humanoid,Any Race,Chaotic Neutral,7,,x,,,,,,,,,ø,ø,ø,,,,,ø,,Guildmaster's Guide to Ravnica,239,,,,,,,,,,,
Duergar Kavalrachni,Medium,Humanoid,dwarf,Any,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,107,"Mordenkainen's Tome of Foes 189, Out of the Abyss 226",,Rubblebelt Stalker,Medium,Humanoid,Any Race,Chaotic Neutral,1/2,,,,,,,,,,,ø,ø,ø,,,,,ø,,Guildmaster's Guide to Ravnica,239,,,,,,,,,,,
Duergar Keeper Of The Flame,Medium,Humanoid,Dwarf,Lawful Neutral,2,,,,,,,,,,,,,,,,,,,,Out of the Abyss,226,,,Niv-Mizzet,Gargantuan,Dragon,,Chaotic Neutral,26,,x,x,,x,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,241,,,,,,,,,,,
Duergar Mind Master,Medium,Humanoid,dwarf,Any,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,108,"Mordenkainen's Tome of Foes 189, Icewind Dale: Rime of the Frostmaiden 286",,Curse of Strahdmotronic Blastseeker,Medium,Humanoid,Any Race,Chaotic Neutral,4,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,242,,,,,,,,,,,
Duergar Screamer,Medium,Construct,dwarf,Any,3,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,112,,,Counterflux Blastseeker,Medium,Humanoid,Any Race,Chaotic Neutral,2,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,242,,,,,,,,,,,
Duergar Screamer,Medium,Humanoid,Dwarf,Lawful Neutral,3,,,,,,,,,,,,,,x,,x,,,,Mordenkainen's Tome of Foes,190,,,Flux Blastseeker,Medium,Humanoid,Any Race,Chaotic Neutral,5,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,242,,,,,,,,,,,
Duergar Soulblade,Medium,Humanoid,dwarf,Any,1,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,109,,,Galvanic Blastseeker,Medium,Humanoid,Any Race,Chaotic Neutral,5,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,243,,,,,,,,,,,
Duergar Soulblade,Medium,Humanoid,Dwarf,Lawful Neutral,1,,x,,,,,,,,,,,,x,,x,,,,Mordenkainen's Tome of Foes,190,Out of the Abyss 227,,Scorchbringer Guard,Medium,Humanoid,Any Race,Chaotic Neutral,1/2,,,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,243,,,,,,,,,,,
Duergar Spore Servant,Medium,Plant,,Unaligned,1/2,,,,,,,,,,,,,,,,ø,,,,Out of the Abyss,229,,,Obzedat Ghost,Medium,Undead,,Lawful Neutral,8,,x,x,,,,,,,,,,,,,,,ø,ø,Guildmaster's Guide to Ravnica,245,,,,,,,,,,,
Duergar Spy,Medium,Humanoid,Dwarf,Lawful Neutral,2,,,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,234,,,Rakdos,Huge,Fiend,Demon,Chaotic Evil,24,,x,x,x,x,,,,,,,,,,,ø,,,ø,Guildmaster's Guide to Ravnica,247,,,,,,,,,,,
Duergar Stone Guard,Medium,Humanoid,dwarf,Any,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,110,,,Blood Witch,Medium,Humanoid,Any Race,Chaotic Evil,7,,x,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,248,,,,,,,,,,,
Duergar Stone Guard,Medium,Humanoid,Dwarf,Lawful Neutral,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen's Tome of Foes,191,Out of the Abyss 227,,Rakdos Lampooner,Medium,Humanoid,Any Race,Chaotic Evil,2,,x,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,248,,,,,,,,,,,
Duergar Warlord,Medium,Humanoid,dwarf,Any,6,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,111,,,Rakdos Performer,Medium,Humanoid,Any Race,Chaotic Evil,1,,,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,248,,,,,,,,,,,
Duergar Warlord,Medium,Humanoid,Dwarf,Lawful Neutral,6,,,,,,,,,,,,,,x,,x,,,,Mordenkainen's Tome of Foes,192,,,Trostani,Large,Fey,,Neutral Good,18,,x,x,,x,,,,,,ø,,,,,,,,,Guildmaster's Guide to Ravnica,252,,,,,,,,,,,
Duergar Xarrorn,Medium,Humanoid,dwarf,Any,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,111,,,Horncaller,Medium,Humanoid,Any Race,Lawful Good,1,,x,,,,,,,,,ø,ø,ø,,,,,ø,,Guildmaster's Guide to Ravnica,253,,,,,,,,,,,
